subject,condition,bad_epochs,keep_ics,brain_ics,brain_ics_custom
subj-01,sp,46,3 4 5 6 10 13 18 19 20 21,3 4 5 6 10 13,
subj-01,im,14 50 97 119,1 2 3 4 5 6 7 9 12 13 15 18 20 21 23 24 25 27,2 3 4 5 6 7 9,
subj-02,sp,1 111,2 3 4 5 7 12 14 20 21 22 23 26 27 28 29 30 31 32 33 36 38,2 3 4 7 14 21 22 28 33,4 7 14 21 22 32
subj-02,im,9 85 95 96 97 110,3 4 5 7 13 14 15 16 18 19 20 22 23 24 25 28 29 34 36 39 42 46,3 4 5 7 16 18 19,4 5 7 16 19
subj-03,sp,None,3 6 16 19 21 31,3 6 21,
subj-03,im,None,4 5 8 9 10 16 17 22 35 43,8 9 10 16 17 35 ,
subj-04,sp,3 15,1 2 3 5 6 7 8 10 15 17 18 20 22 23 24 25,1 2 7 10 18 20 24,
subj-04,im,12 40 41 42 43 53 107,1 2 3 4 5 7 8 10 11 12 15 17 24,1 2 3 4 5 7 8 10,
subj-05,sp,None,4 16 17 19 20 21 22 25 34 39 46 48,4 19 22,
subj-05,im,None,2 3 10 11 14 17 18 20 23 25 28 29 30,3 14 17,
subj-06,sp,4 19 21 23 27 39 40 49 56 58 61 67 69 74 88 89 90 93,2 3 4 5 8 9 10 11 12 13 14 15 16 17 24 29 30 31 32 33 34 36 37 39 40 42 44 45 48 49 50 53,2 3 4 5 9 12 17,
subj-06,im,77,2 3 4 5 6 7 8 9 10 12 13 17 18 20 22 27 30 41,4 5 12 13 18,
subj-07,sp,15 51 83 86 91 98 104 106,1 2 3 4 9 11 13 15 21 25 26 30 31 35,2 3 4 9 11 21 25,
subj-07,im,1 31 80 96 120,2 4 6 8 9 10 11 12 13 14 18 21 22 23 26 32 35 36 38 39 40 42 44 46,4 6 8 10 11 12 14 36 42,
subj-08,sp,7 65 66 78 86 104 105,5 6 7 11 12 13 18 19 22 24 28,5 6 7 11 13 18 19 24,
subj-08,im,46 51 96 98,2 5 6 11 13 14 15 16 18 25 27 29 34 38 41,5 6 11 13 14 15 16 18 25,
subj-11,sp,None,[5 11 16 17 19 25 27],11 16 17 19 25 27,
subj-11,im,None,[1 2 4 5 6 7 10 11 12 13 15 18 21 22 29 30 31 32 36 38],1 2 4 5 7 10 11 12 13 15 18,
subj-12,sp,None,1 2 3 4 7 8 13 14 15 19 22 24 25 26 29 30 31 35,1 3 4 7 8 13 14,
subj-12,im,None,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 17 19 24 25 26 27 34 36 38 39 40 45,2 4 5 6 7 8 9 10 11 12 39,